Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
3.266666666666666607e+00,2.989163267410698950e+02,3.233762730774774923e+02,9.170029663237012629e-01,2.989308959515055903e+02,1.541242307507497133e-01
3.299999999999999822e+00,2.989308959515055903e+02,3.233749479843404515e+02,9.158884368636269757e-01,2.989449188372645381e+02,1.541684005219864650e-01
3.333333333333333481e+00,2.989449188372645381e+02,3.233736725672550847e+02,9.148154416389090438e-01,3.500000000000000000e+02,0.000000000000000000e+00
3.366666666666666696e+00,3.500000000000000000e+02,3.268815561574428443e+02,9.131614171712275629e-01,3.359139688836958726e+02,2.706147947519042529e-01
3.399999999999999911e+00,3.359139688836958726e+02,3.293566503194461461e+02,9.103528892024839170e-01,3.097211212219461913e+02,1.881116560184611375e-01
3.433333333333333126e+00,3.097211212219461913e+02,3.299993765176708962e+02,9.069112998489756716e-01,3.029194287220171304e+02,1.666874494109717442e-01
3.466666666666666785e+00,3.029194287220171304e+02,3.301654470575287519e+02,9.033981970680106111e-01,3.011619762507621090e+02,1.611517647490410265e-01
3.500000000000000000e+00,3.011619762507621090e+02,3.302045248419918835e+02,8.999715560183829677e-01,3.007484330122401843e+02,1.598491719336033179e-01
3.533333333333333215e+00,3.007484330122401843e+02,3.302097340152362221e+02,8.966702127735636241e-01,3.006933065918691454e+02,1.596755328254586825e-01
3.566666666666666430e+00,3.006933065918691454e+02,3.302060642934255839e+02,8.935004119922668187e-01,3.007321416656303086e+02,1.597978568858154369e-01
3.600000000000000089e+00,3.007321416656303086e+02,3.302002240151313686e+02,8.904597777255781610e-01,3.007939467969302427e+02,1.599925328289538151e-01
3.633333333333333304e+00,3.007939467969302427e+02,3.301940062947183492e+02,8.875437912182542188e-01,3.008597462344150131e+02,1.601997901760544574e-01
3.666666666666666519e+00,3.008597462344150131e+02,3.301878835293127281e+02,8.847475224076249978e-01,3.009245408042540362e+02,1.604038823562418392e-01
3.699999999999999734e+00,3.009245408042540362e+02,3.301819738753858928e+02,8.820660866153131607e-01,3.009870801077745455e+02,1.606008708204718083e-01
3.733333333333333393e+00,3.009870801077745455e+02,3.301763008576311904e+02,8.794947600437021951e-01,3.010471151933532497e+02,1.607899714122930923e-01
